         7234688 function calls (6622586 primitive calls) in 11.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60000    0.014    0.000    0.014    0.000 fromnumeric.py:1034(_argsort_dispatcher)
     6000    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
    48000    0.013    0.000    0.013    0.000 fromnumeric.py:2328(_any_dispatcher)
    64000    0.012    0.000    0.012    0.000 fromnumeric.py:3148(_ndim_dispatcher)
    49761    0.012    0.000    0.017    0.000 utils.py:330(<genexpr>)
    24000    0.011    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    12000    0.011    0.000    0.475    0.000 <__array_function__ internals>:177(array_split)
     4000    0.011    0.000    0.096    0.000 numeric.py:578(argwhere)
    22006    0.010    0.000    0.122    0.000 _methods.py:47(_sum)
     4000    0.010    0.000    0.105    0.000 arraysetops.py:138(unique)
     6000    0.010    0.000    0.040    0.000 fromnumeric.py:878(sort)
    12000    0.009    0.000    0.545    0.000 <__array_function__ internals>:177(split)
    38000    0.009    0.000    0.009    0.000 {built-in method numpy.asanyarray}
    42000    0.009    0.000    0.009    0.000 multiarray.py:152(concatenate)
     4000    0.009    0.000    0.009    0.000 {method '__reduce_ex__' of 'object' objects}
     2000    0.008    0.000    0.065    0.000 Battle.py:10(__init__)
    16000    0.008    0.000    0.026    0.000 copy.py:263(<genexpr>)
    36000    0.008    0.000    0.008    0.000 fromnumeric.py:546(_swapaxes_dispatcher)
     4000    0.007    0.000    0.007    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     4000    0.007    0.000    0.011    0.000 enum.py:313(__call__)
    24000    0.007    0.000    0.007    0.000 histograms.py:673(_histogram_dispatcher)
     6000    0.007    0.000    0.055    0.000 <__array_function__ internals>:177(sort)
     2000    0.007    0.000    0.043    0.000 D12Colored.py:6(__init__)
     2001    0.006    0.000    0.014    0.000 __init__.py:1908(basicConfig)
     2000    0.006    0.000    0.011    0.000 __init__.py:2084(debug)
